siren;trancheEffectifsEtablissement;anneeEffectifsEtablissement;trancheEffectifsEtablissement_texte
698800935;42.0;2017.0;1 000 à 1 999 salariés
699201323;41.0;2017.0;500 à 999 salariés
700200983;41.0;2017.0;500 à 999 salariés
702002221;42.0;2017.0;1 000 à 1 999 salariés
702012956;42.0;2017.0;1 000 à 1 999 salariés
702012956;51.0;2017.0;2 000 à 4 999 salariés
702012956;42.0;2017.0;1 000 à 1 999 salariés
702021114;41.0;2017.0;500 à 999 salariés
702021114;41.0;2017.0;500 à 999 salariés
702021114;41.0;2017.0;500 à 999 salariés
702023433;42.0;2017.0;1 000 à 1 999 salariés
702034398;42.0;2017.0;1 000 à 1 999 salariés
702038464;41.0;2017.0;500 à 999 salariés
702042755;51.0;2017.0;2 000 à 4 999 salariés
702042755;41.0;2017.0;500 à 999 salariés
702042755;41.0;2017.0;500 à 999 salariés
702042755;41.0;2017.0;500 à 999 salariés
702042755;41.0;2017.0;500 à 999 salariés
702042755;41.0;2017.0;500 à 999 salariés
705580108;41.0;2017.0;500 à 999 salariés
706580149;41.0;2017.0;500 à 999 salariés
709200307;41.0;2017.0;500 à 999 salariés
709800015;41.0;2017.0;500 à 999 salariés
709806624;41.0;2017.0;500 à 999 salariés
712002641;41.0;2017.0;500 à 999 salariés
712009661;41.0;2017.0;500 à 999 salariés
712019538;41.0;2017.0;500 à 999 salariés
712019538;42.0;2017.0;1 000 à 1 999 salariés
712019538;42.0;2017.0;1 000 à 1 999 salariés
712030154;41.0;2017.0;500 à 999 salariés
712042456;41.0;2017.0;500 à 999 salariés
712042456;51.0;2017.0;2 000 à 4 999 salariés
712042456;41.0;2017.0;500 à 999 salariés
712042456;41.0;2017.0;500 à 999 salariés
712042456;42.0;2017.0;1 000 à 1 999 salariés
712052141;42.0;2017.0;1 000 à 1 999 salariés
712052612;41.0;2017.0;500 à 999 salariés
713002269;41.0;2017.0;500 à 999 salariés
713002269;42.0;2017.0;1 000 à 1 999 salariés
713002269;42.0;2017.0;1 000 à 1 999 salariés
720801497;41.0;2017.0;500 à 999 salariés
722000395;42.0;2017.0;1 000 à 1 999 salariés
722000395;41.0;2017.0;500 à 999 salariés
722003464;41.0;2017.0;500 à 999 salariés
722008232;41.0;2017.0;500 à 999 salariés
