;siren;denominationUsuelleEtablissement;anneeEffectifsEtablissement;trancheEffectifsEtablissement_texte;trancheEffectifsEtablissement;denomination;FJ
0;007080021;;2017.0;500 à 999 salariés;41.0;;
1;016950842;;2017.0;500 à 999 salariés;41.0;;
2;016980062;;2017.0;1 000 à 1 999 salariés;42.0;;
3;017251067;;2017.0;500 à 999 salariés;41.0;;
4;056501711;;2017.0;1 000 à 1 999 salariés;42.0;;
5;056800659;;2017.0;500 à 999 salariés;41.0;;
6;058801481;;2017.0;500 à 999 salariés;41.0;;
7;059804062;;2017.0;2 000 à 4 999 salariés;51.0;;
8;060200128;;2017.0;500 à 999 salariés;41.0;;
9;060801388;;2017.0;500 à 999 salariés;41.0;;
10;061500245;;2017.0;500 à 999 salariés;41.0;;
11;064502636;;2017.0;1 000 à 1 999 salariés;42.0;;
12;066305277;;2017.0;500 à 999 salariés;41.0;;
13;067800425;;2017.0;500 à 999 salariés;41.0;;
14;071502397;;2017.0;1 000 à 1 999 salariés;42.0;;
15;072801749;;2017.0;500 à 999 salariés;41.0;;
16;085980357;PFEIFFER VACUUM;2017.0;500 à 999 salariés;41.0;;
17;086280393;LESILLON.FR LESILLONJOHNDEERE.FR;2017.0;1 000 à 1 999 salariés;42.0;;
18;086380730;;2017.0;500 à 999 salariés;41.0;;
19;086920394;;2017.0;500 à 999 salariés;41.0;;
20;087280061;;2017.0;500 à 999 salariés;41.0;;
21;130009186;;2017.0;500 à 999 salariés;41.0;nan;nan
22;130012024;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
23;179101316;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
24;180006025;;2017.0;500 à 999 salariés;41.0;nan;nan
25;180020026;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
26;180036014;;2017.0;500 à 999 salariés;41.0;nan;nan
27;180036048;;2017.0;500 à 999 salariés;41.0;nan;nan
28;180044174;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
29;180046021;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
30;180046237;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
31;180046252;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
32;180046260;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
33;180060030;;2017.0;500 à 999 salariés;41.0;nan;nan
34;180070039;;2017.0;500 à 999 salariés;41.0;nan;nan
35;180089013;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
36;180092447;;2017.0;500 à 999 salariés;41.0;nan;nan
37;183500016;;2017.0;500 à 999 salariés;41.0;nan;nan
38;187509013;;2017.0;500 à 999 salariés;41.0;nan;nan
39;200002970;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
40;200011203;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
41;200011385;;2017.0;500 à 999 salariés;41.0;nan;nan
42;200011898;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
43;200017986;;2017.0;500 à 999 salariés;41.0;nan;nan
44;200018034;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
45;200018703;;2017.0;500 à 999 salariés;41.0;nan;nan
46;200023059;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
47;200023091;;2017.0;500 à 999 salariés;41.0;nan;nan
48;200026250;;2017.0;500 à 999 salariés;41.0;nan;nan
49;200026433;;2017.0;500 à 999 salariés;41.0;nan;nan
50;200026888;;2017.0;500 à 999 salariés;41.0;nan;nan
51;200027092;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
52;200027233;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
53;200029320;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
54;200029445;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
55;200029619;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
56;200030013;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
57;200030153;;2017.0;500 à 999 salariés;41.0;nan;nan
58;200030419;;2017.0;500 à 999 salariés;41.0;nan;nan
59;200033082;;2017.0;500 à 999 salariés;41.0;nan;nan
60;200034528;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
61;200034650;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
62;200034932;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
63;200036929;;2017.0;500 à 999 salariés;41.0;nan;nan
64;200039782;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
65;200040699;;2017.0;500 à 999 salariés;41.0;nan;nan
66;200042166;;2017.0;5 000 à 9 999 salariés;52.0;nan;nan
67;200044972;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
68;200046985;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
69;200047827;;2017.0;500 à 999 salariés;41.0;nan;nan
70;200047835;;2017.0;2 000 à 4 999 salariés;51.0;nan;nan
71;200048668;;2017.0;1 000 à 1 999 salariés;42.0;nan;nan
