siren;denominationUsuelleEtablissement;anneeEffectifsEtablissement;trancheEffectifsEtablissement_texte;trancheEffectifsEtablissement
007080021;;2017.0;500 à 999 salariés;41.0
016950842;;2017.0;500 à 999 salariés;41.0
016980062;;2017.0;1 000 à 1 999 salariés;42.0
017251067;;2017.0;500 à 999 salariés;41.0
056501711;;2017.0;1 000 à 1 999 salariés;42.0
056800659;;2017.0;500 à 999 salariés;41.0
058801481;;2017.0;500 à 999 salariés;41.0
059804062;;2017.0;2 000 à 4 999 salariés;51.0
060200128;;2017.0;500 à 999 salariés;41.0
060801388;;2017.0;500 à 999 salariés;41.0
061500245;;2017.0;500 à 999 salariés;41.0
064502636;;2017.0;1 000 à 1 999 salariés;42.0
066305277;;2017.0;500 à 999 salariés;41.0
067800425;;2017.0;500 à 999 salariés;41.0
071502397;;2017.0;1 000 à 1 999 salariés;42.0
072801749;;2017.0;500 à 999 salariés;41.0
085980357;PFEIFFER VACUUM;2017.0;500 à 999 salariés;41.0
086280393;LESILLON.FR LESILLONJOHNDEERE.FR;2017.0;1 000 à 1 999 salariés;42.0
086380730;;2017.0;500 à 999 salariés;41.0
086920394;;2017.0;500 à 999 salariés;41.0
087280061;;2017.0;500 à 999 salariés;41.0
130009186;;2017.0;500 à 999 salariés;41.0
130012024;;2017.0;1 000 à 1 999 salariés;42.0
179101316;;2017.0;1 000 à 1 999 salariés;42.0
180006025;;2017.0;500 à 999 salariés;41.0
180020026;;2017.0;2 000 à 4 999 salariés;51.0
180036014;;2017.0;500 à 999 salariés;41.0
180036048;;2017.0;500 à 999 salariés;41.0
180044174;;2017.0;1 000 à 1 999 salariés;42.0
180046021;;2017.0;1 000 à 1 999 salariés;42.0
180046237;;2017.0;2 000 à 4 999 salariés;51.0
180046252;;2017.0;2 000 à 4 999 salariés;51.0
180046260;;2017.0;1 000 à 1 999 salariés;42.0
180060030;;2017.0;500 à 999 salariés;41.0
180070039;;2017.0;500 à 999 salariés;41.0
180089013;;2017.0;2 000 à 4 999 salariés;51.0
180092447;;2017.0;500 à 999 salariés;41.0
183500016;;2017.0;500 à 999 salariés;41.0
187509013;;2017.0;500 à 999 salariés;41.0
200002970;;2017.0;1 000 à 1 999 salariés;42.0
200011203;;2017.0;1 000 à 1 999 salariés;42.0
200011385;;2017.0;500 à 999 salariés;41.0
200011898;;2017.0;1 000 à 1 999 salariés;42.0
200017986;;2017.0;500 à 999 salariés;41.0
200018034;;2017.0;2 000 à 4 999 salariés;51.0
200018703;;2017.0;500 à 999 salariés;41.0
200023059;;2017.0;2 000 à 4 999 salariés;51.0
200023091;;2017.0;500 à 999 salariés;41.0
200026250;;2017.0;500 à 999 salariés;41.0
200026433;;2017.0;500 à 999 salariés;41.0
200026888;;2017.0;500 à 999 salariés;41.0
200027092;;2017.0;2 000 à 4 999 salariés;51.0
200027233;;2017.0;1 000 à 1 999 salariés;42.0
200029320;;2017.0;2 000 à 4 999 salariés;51.0
200029445;;2017.0;1 000 à 1 999 salariés;42.0
200029619;;2017.0;1 000 à 1 999 salariés;42.0
200030013;;2017.0;2 000 à 4 999 salariés;51.0
200030153;;2017.0;500 à 999 salariés;41.0
200030419;;2017.0;500 à 999 salariés;41.0
200033082;;2017.0;500 à 999 salariés;41.0
200034528;;2017.0;2 000 à 4 999 salariés;51.0
200034650;;2017.0;1 000 à 1 999 salariés;42.0
200034932;;2017.0;1 000 à 1 999 salariés;42.0
200036929;;2017.0;500 à 999 salariés;41.0
200039782;;2017.0;1 000 à 1 999 salariés;42.0
200040699;;2017.0;500 à 999 salariés;41.0
200042166;;2017.0;5 000 à 9 999 salariés;52.0
200044972;;2017.0;1 000 à 1 999 salariés;42.0
200046985;;2017.0;2 000 à 4 999 salariés;51.0
200047827;;2017.0;500 à 999 salariés;41.0
200047835;;2017.0;2 000 à 4 999 salariés;51.0
200048668;;2017.0;1 000 à 1 999 salariés;42.0
200050292;;2017.0;2 000 à 4 999 salariés;51.0
200052744;;2017.0;500 à 999 salariés;41.0
200053098;;2017.0;1 000 à 1 999 salariés;42.0
200055358;;2017.0;5 000 à 9 999 salariés;52.0
200055648;;2017.0;1 000 à 1 999 salariés;42.0
216601369;;2017.0;500 à 999 salariés;41.0
216901231;;2017.0;500 à 999 salariés;41.0
217500016;;2017.0;500 à 999 salariés;41.0
220100010;;2017.0;500 à 999 salariés;41.0
221401185;;2017.0;500 à 999 salariés;41.0
221700016;;2017.0;500 à 999 salariés;41.0
223300013;;2017.0;500 à 999 salariés;41.0
223500018;;2017.0;500 à 999 salariés;41.0
225100015;;2017.0;500 à 999 salariés;41.0
225400019;;2017.0;500 à 999 salariés;41.0
226200012;;2017.0;1 000 à 1 999 salariés;42.0
227500055;;2017.0;500 à 999 salariés;41.0
227605409;;2017.0;500 à 999 salariés;41.0
227700010;;2017.0;500 à 999 salariés;41.0
229740014;;2017.0;500 à 999 salariés;41.0
243300316;;2017.0;1 000 à 1 999 salariés;42.0
