denomination;project_denomination;sectors;rse_ranges_2016;rse_ranges_2017;rse_ranges_2018;rse_ranges_2019
Auchan Holding;auchanholding;Distribution;;;(115,165);
Bouygues;bouyguesconstruction;Construction;;;(98,124);
Carrefour;carrefour;Distribution;;;(39,130);
Casino;casino;Distribution;;;(1,76);
EDF;edf;Energie;;;(149,236);
Eiffage;eiffage;Construction;;;(125,202);
Engie;engie;Energie;;;(63,110);
LVMH;lvmh;Luxe;;;(1,54);
Michelin;michelin;"Automobile;Industrie";;;(204,282);
Orano;orano;Energie;;;(61,78);
Saint-Gobain;saintgobain;Construction;;;(76,79)|(101,104)|(329,332);
SCA Ouest;scaouest;Distribution;;;(1,39);
TOTAL;total;Energie;;;(179,226);
VINCI;vinci;Construction;;;(38,48)|(207,266);
