SIREN;denomination;project_denomination;rse_ranges
552037806;VINCI;vinci;(38,48)|(207,266)
709802094;Eiffage;eiffage;(125,202)
397480930;Bouygues;bouygues;(98,124)
542039532;Saint-Gobain;saintgobain;(76,79)|(101,104)|(329,332)
542051180;TOTAL;total;(179-226)
552081317;EDF;edf;(149-236)
542107651;Engie;engie;(63-110)
330956871;Orano;orano;(61-78)
476180625;Auchen Holding;auchanholding;(115-165)
652014051;Carrefour;carrefour;(39-130)
428268023;Casino;casino;(1-76)
007080021;SCA Ouest;scaouest;(1-39)
855200507;Michelin;michelin;(204-282)
775670417;LVMH;lvmh;(1-54)
